timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1741290010137,391,16 Get Stock Prices Request,200,OK,User Thread Group 1-234,text,false,,400,596,292,292,http://localhost:8080/transaction/getStockPrices,391,0,0
1741290010138,394,16 Get Stock Prices Request,200,OK,User Thread Group 1-245,text,false,,400,592,291,291,http://localhost:8080/transaction/getStockPrices,394,0,0
1741290010139,405,16 Get Stock Prices Request,200,OK,User Thread Group 1-230,text,false,,400,592,290,290,http://localhost:8080/transaction/getStockPrices,404,0,0
1741290010140,409,16 Get Stock Prices Request,200,OK,User Thread Group 1-242,text,false,,400,592,289,289,http://localhost:8080/transaction/getStockPrices,409,0,0
1741290010144,408,16 Get Stock Prices Request,200,OK,User Thread Group 1-269,text,false,,400,594,288,288,http://localhost:8080/transaction/getStockPrices,408,0,0
1741290010143,412,16 Get Stock Prices Request,200,OK,User Thread Group 1-263,text,false,,400,591,287,287,http://localhost:8080/transaction/getStockPrices,412,0,0
1741290010144,413,16 Get Stock Prices Request,200,OK,User Thread Group 1-248,text,false,,400,599,286,286,http://localhost:8080/transaction/getStockPrices,413,0,0
1741290010146,416,16 Get Stock Prices Request,200,OK,User Thread Group 1-274,text,false,,400,591,285,285,http://localhost:8080/transaction/getStockPrices,416,0,0
1741290010147,426,16 Get Stock Prices Request,200,OK,User Thread Group 1-272,text,false,,400,600,284,284,http://localhost:8080/transaction/getStockPrices,426,0,0
1741290010146,433,16 Get Stock Prices Request,200,OK,User Thread Group 1-285,text,false,,400,594,283,283,http://localhost:8080/transaction/getStockPrices,433,0,0
1741290010146,443,16 Get Stock Prices Request,200,OK,User Thread Group 1-270,text,false,,400,590,282,282,http://localhost:8080/transaction/getStockPrices,443,0,0
1741290010147,450,16 Get Stock Prices Request,200,OK,User Thread Group 1-257,text,false,,400,603,281,281,http://localhost:8080/transaction/getStockPrices,450,0,0
1741290010148,453,16 Get Stock Prices Request,200,OK,User Thread Group 1-275,text,false,,400,594,280,280,http://localhost:8080/transaction/getStockPrices,453,0,0
1741290010149,457,16 Get Stock Prices Request,200,OK,User Thread Group 1-278,text,false,,400,602,279,279,http://localhost:8080/transaction/getStockPrices,457,0,0
1741290010149,457,16 Get Stock Prices Request,200,OK,User Thread Group 1-289,text,false,,400,596,279,279,http://localhost:8080/transaction/getStockPrices,457,0,0
1741290010150,459,16 Get Stock Prices Request,200,OK,User Thread Group 1-302,text,false,,400,602,277,277,http://localhost:8080/transaction/getStockPrices,459,0,0
1741290010153,457,16 Get Stock Prices Request,200,OK,User Thread Group 1-283,text,false,,400,595,277,277,http://localhost:8080/transaction/getStockPrices,457,0,0
1741290010152,460,16 Get Stock Prices Request,200,OK,User Thread Group 1-301,text,false,,400,606,275,275,http://localhost:8080/transaction/getStockPrices,460,0,0
